taxa_name	pectoral fin	pelvic fin
Bellottia robusta	?	0
Typhlobelus ternetzi	1	0
Eurypharyngidae	1	0
Nessorhamphus danae	1	0
Platyurosternarchus macrostomus	1	0
Alabes hoesei	0	0
Apteronotus leptorhynchus	1	0
Belonion apodion	1	0
Trichomycterus catamarcensis	1	0
Nettastomatidae	0	0
Anguillidae	1	0
Scorpaeniformes	?	0 and 1
Melanocetidae	1	0
Aseraggodes holcomi	0	1
Gymnotus cylindricus	1	0
Serrivomeridae	1	0
Amblyopsis rosae	1	0
Neoopisthopterus cubanus	?	0
Tetraodontidae	1	0 and 1
Apteronotus albifrons	1	0
Linophrynidae	1	0
Halimuraenoides	1	0 and 1
Pholis fasciata	1	0
Eurypharynx pelecanoides	?	0
Opisthopterus equatorialis	1	0
Synbranchidae	0 and 1	0
Magosternarchus raptor	1	0
Schindleriidae	1	0
Sternarchorhamphus muelleri	1	0
Heterenchelyidae	0	0
Ereunias grallator	1	0
Sternopygidae	1	0
Prodiodon erinaceus	?	0
Simpsonichthys cholopteryx	1	0
Derichthyidae	?	0
Ranzania laevis	1	0
Anarhichadidae	1	0
Porotergus gimbeli	1	0
Colocongridae	1	0
Megupsilon aporus	1	0
Parapteronotus hasemani	1	0
Ereuniidae	1	0 and 1
Dolichallabes microphthalmus	0	0 and 1
Phallostethidae	1	0 and 1
Archaeotetraodon winterbottomi	?	0
Ophisternon afrum	0	0
Trichiuridae	?	0 and 1
Gymnotus anguillaris	1	0
Parabrotulidae	1	0
Heptadiodon echinus	?	0
Zaprora silenus	1	0
Pristigaster sp. (DiDario 1999)	?	0 and 1
Eurypleuron	1	0
Odontognathus compressus	1	0
Rhabdolichops troscheli	1	0
Apteronotidae	1	0
Hoplunnis	1	0
Sternarchogiton sp. B (Albert 2001)	1	0
Listrura camposi	1	0
Schilbidae	1	0 and 1
Congrogadus hierichthys	1	0
Thaumatichthyidae	1	0
Hypopomidae	1	0
Balistidae	1	0 and 1
Apteronotus apurensis	1	0
Ophididae	?	0 and 1
Proaracana dubia	?	0
Neoopisthopterus tropicus	?	0
Opisthopterus valenciennesi	1	0
Glanapteryx anguilla	1	0 and 1
Saccopharyngidae	1	0
Rhabdolichops electrogrammus	1	0
Siluridae	1	0 and 1
Ceratiidae	1	0
Encheliophis	0	0
Goodeidae	1	0 and 1
Sternopygus macrurus	1	0
Gasterosteidae	1	0 and 1
Anguilliformes	?	0
Pillaia indica	1	0
Conniella apterygia	1	0
Monognathidae	0	0
Kaupichthys	1	0
Electrophorus electricus	1	0
Muraenidae	0	0
Cyclopteridae	1	0 and 1
Rivulidae	1	0 and 1
Microsternarchus bilineatus	1	0
Neochanna apoda	1	0
Halidesmus	1	0 and 1
Stylephoridae	1	0 and 1
Haliophis	1	0 and 1
Adontosternarchus sachsi	1	0
Odacidae	1	0 and 1
Gymnotiformes	1	0
Sphoeroides maculatus	?	0
Triodon macropterus	1	0
Comephoridae	1	0
Cyematidae	1	0
Osteoglossidae	1	0 and 1
Rhamphichthys rostratus	1	0
Ptilichthys goodei	1	0
Siphonognathus argyrophanes	1	0
Moringuidae	0	0
Synbranchus madeirae	0	0
Ophisternon candidum	0	0
Molidae	1	0 and 1
Rivulus nudiventris	1	0
Diceratiidae	1	0
Megadontognathus cuyuniense	1	0
Opisthopterus dovii	1	0
Congridae	?	0
Simpsonichthys boitonei	1	0
Bythitidae	?	0 and 1
Gymnallabes typus	0	0 and 1
Triodontidae	1	0 and 1
Typhlichthys subterraneus	1	0
Aracana aurita	?	0
Racenisia fimbriipinna	1	0
Percopsiformes	?	0 and 1
Ostracion cubicus	?	0
Spinacanthidae	?	0
Zignoichthys oblongus	?	0
Chlopsidae	?	0
Cetomimoides parri	1	0
Bellottia apoda	?	0
Empetrichthys	1	0
Ophichthus rex	?	0
Papyrocranus congoensis	1	0
Clupeidae	1	0 and 1
Robinsia catherinae	0	0
Pliosteostoma lutipinnis	?	0
Centrophrynidae	1	0
Distocyclus conirostris	1	0
Carapus	1	0
Zignodon fornasieroae	?	0
Gigantactinidae	1	0
Lepturacanthus	1	0
Listrura nematopteryx	1	0
Caulophryne	1	0 and 1
Labridae	1	0 and 1
Chendol keelini	1	0
Bellottia armiger	?	0
Onuxodon	1	0
Lagocephalus laevigatus	1	0
Channallabes apus	0	0 and 1
Cyema atrum	1	0
Canthigaster rostrata	?	0
Macrouroides inflaticeps	1	0
Xenoconger	1	0
Nemichthyidae	1	0
Monopterus boueti	0	0
Platytroctidae	1	0 and 1
Atheriniformes	?	0 and 1
Macrocephenchelys brachialis	1	0
Orthosternarchus tamandua	1	0
Synbranchus marmoratus	0	0
Muraenichthys	0	?
Mastacembelus apectoralis	0	?
Crenichthys	1	0
Stylephorus chordatus	1	0
Stomiidae	0 and 1	1
Oneirodidae	1	0
Chlopsis	0	0
Belonidae	1	0 and 1
Monodactylus	1	0 and 1
Apteronotus cuchillo	1	0
Chaudhuria	1	0
Ostraciidae	1	0 and 1
Clupeiformes	?	0 and 1
Cyprinodontidae	1	0 and 1
Caulophrynidae	1	0
Glanapteryx niobium	1	0
Gigantura indica	1	0 and 1
Sternopygus sp. (Fink and Fink 1981)	1	0
Hypopygus lepturus	1	0
Ophichthidae	?	0
Lycenchelys fedorovi	?	0
Simpsonichthys parallelus	1	0
Osteoglossiformes	?	0 and 1
Pygidianops eigenmanni	1	0
Halimuraena	1	0 and 1
Gadiformes	?	0 and 1
Stichaeidae	1	0 and 1
Aetapcus	1	0
Himantolophidae	1	0
Congrogadus malayanus	1	0
Parona signata	1	0 and 1
Pataecidae	1	0
Kasatkia memorabilis	1	0
Trichomycteridae	1	0 and 1
Vitiaziella cubiceps	1	0
Prodiodon tenuispinus	?	0
Archaeotetraodon jamestyleri	?	0
Monopterus cuchia	0	0
Symphurus williamsi	0 and 1	?
Lamprogrammus niger	1	0
Chendol lubricus	1	0
Eigenmannia virescens	1	0
Chologaster cornuta	1	0
Ascelichthys rhodorus	?	0
Cyprinodontiformes	?	0 and 1
