taxa_name	pectoral_fin	pelvic_fin	pectoral_inferred	pelvic_inferred	pectoral_propagated	pelvic_propagated
Bellottia_robusta	?	0	?	0	0	0
Typhlobelus_ternetzi	1	0	1	0	0	0
Nessorhamphus_danae	1	0	1	0	0	0
Platyurosternarchus_macrostomus	1	0	2	0	0	0
Alabes_hoesei	0	0	0	0	0	0
Apteronotus_leptorhynchus	1	0	2	0	0	0
Belonion_apodion	1	0	1	0	0	0
Trichomycterus_catamarcensis	1	0	1	0	0	0
Aseraggodes_holcomi	0	1	0	1	0	0
Gymnotus_cylindricus	1	0	2	0	0	0
Amblyopsis_rosae	1	0	1	0	0	0
Neoopisthopterus_cubanus	1	0	1	0	1	0
Apteronotus_albifrons	1	0	2	0	0	0
Pholis_fasciata	1	0	1	0	0	0
Eurypharynx_pelecanoides	1	0	2	0	1	0
Opisthopterus_equatorialis	1	0	1	0	0	0
Magosternarchus_raptor	1	0	2	0	0	0
Sternarchorhamphus_muelleri	1	0	2	0	0	0
Ereunias_grallator	1	0	1	0	0	0
Prodiodon_erinaceus	1	0	1	0	1	0
Simpsonichthys_cholopteryx	1	0	1	0	0	0
Ranzania_laevis	1	0	2	0	0	0
Porotergus_gimbeli	1	0	2	0	0	0
Megupsilon_aporus	1	0	1	0	0	0
Parapteronotus_hasemani	1	0	2	0	0	0
Dolichallabes_microphthalmus	0	1	0	2	0	0
Archaeotetraodon_winterbottomi	1	0	1	0	1	0
Ophisternon_afrum	0	0	0	0	0	0
Gymnotus_anguillaris	1	0	2	0	0	0
Heptadiodon_echinus	1	0	1	0	1	0
Zaprora_silenus	1	0	1	0	0	0
Pristigaster_sp._(DiDario_1999)	1	0&1	1	0&1	1	0
Odontognathus_compressus	1	0	1	0	0	0
Rhabdolichops_troscheli	1	0	2	0	0	0
Sternarchogiton_sp._B_(Albert_2001)	1	0	2	0	0	0
Listrura_camposi	1	0	1	0	0	0
Congrogadus_hierichthys	1	0	1	0	0	0
Apteronotus_apurensis	1	0	2	0	0	0
Proaracana_dubia	1	0	2	0	1	0
Neoopisthopterus_tropicus	1	0	1	0	1	0
Opisthopterus_valenciennesi	1	0	1	0	0	0
Glanapteryx_anguilla	1	0&1	1	0&1	0	0
Rhabdolichops_electrogrammus	1	0	2	0	0	0
Sternopygus_macrurus	1	0	2	0	0	0
Pillaia_indica	1	0	1	0	0	0
Conniella_apterygia	1	0	1	0	0	0
Electrophorus_electricus	1	0	1	0	0	0
Microsternarchus_bilineatus	1	0	2	0	0	0
Neochanna_apoda	1	0	1	0	0	0
Adontosternarchus_sachsi	1	0	2	0	0	0
Sphoeroides_maculatus	1	0	1	0	1	0
Triodon_macropterus	1	0	1	0	0	0
Rhamphichthys_rostratus	1	0	2	0	0	0
Ptilichthys_goodei	1	0	1	0	0	0
Siphonognathus_argyrophanes	1	0	1	0	0	0
Synbranchus_madeirae	0	0	0	0	0	0
Ophisternon_candidum	0	0	0	0	0	0
Rivulus_nudiventris	1	0	1	0	0	0
Megadontognathus_cuyuniense	1	0	2	0	0	0
Opisthopterus_dovii	1	0	1	0	0	0
Simpsonichthys_boitonei	1	0	1	0	0	0
Gymnallabes_typus	0	1	0	2	0	0
Typhlichthys_subterraneus	1	0	1	0	0	0
Aracana_aurita	1	0	2	0	1	0
Racenisia_fimbriipinna	1	0	2	0	0	0
Ostracion_cubicus	1	0	1	0	1	0
Zignoichthys_oblongus	1	0	2	0	1	0
Cetomimoides_parri	1	0	1	0	0	0
Bellottia_apoda	?	0	?	0	0	0
Ophichthus_rex	?	0	?	0	0	0
Papyrocranus_congoensis	1	0	1	0	0	0
Robinsia_catherinae	0	0	0	0	0	0
Pliosteostoma_lutipinnis	1	0	1	0	1	0
Distocyclus_conirostris	1	0	2	0	0	0
Zignodon_fornasieroae	1	0	1	0	1	0
Listrura_nematopteryx	1	0	1	0	0	0
Chendol_keelini	1	0	1	0	0	0
Bellottia_armiger	?	0	?	0	0	0
Lagocephalus_laevigatus	1	0	2	0	0	0
Channallabes_apus	0	1	0	2	0	0
Cyema_atrum	1	0	1	0	0	0
Canthigaster_rostrata	1	0	1	0	1	0
Macrouroides_inflaticeps	1	0	1	0	0	0
Monopterus_boueti	0	0	0	0	0	0
Macrocephenchelys_brachialis	1	0	1	0	0	0
Orthosternarchus_tamandua	1	0	2	0	0	0
Synbranchus_marmoratus	0	0	0	0	0	0
Mastacembelus_apectoralis	0	?	0	?	0	0
Stylephorus_chordatus	1	0	1	0	0	0
Apteronotus_cuchillo	1	0	2	0	0	0
Glanapteryx_niobium	1	0	1	0	0	0
Gigantura_indica	1	0&1	1	0&1	0	0
Sternopygus_sp._(Fink_and_Fink_1981)	1	0	2	0	0	0
Hypopygus_lepturus	1	0	2	0	0	0
Lycenchelys_fedorovi	1	0	1	0	1	0
Simpsonichthys_parallelus	1	0	1	0	0	0
Pygidianops_eigenmanni	1	0	1	0	0	0
Congrogadus_malayanus	1	0	1	0	0	0
Parona_signata	1	0&1	1	0&1	0	0
Kasatkia_memorabilis	1	0	1	0	0	0
Vitiaziella_cubiceps	1	0	1	0	0	0
Prodiodon_tenuispinus	1	0	1	0	1	0
Archaeotetraodon_jamestyleri	1	0	1	0	1	0
Monopterus_cuchia	0	0	0	0	0	0
Symphurus_williamsi	0&1	0	0&1	0	0	1
Lamprogrammus_niger	1	0	1	0	0	0
Chendol_lubricus	1	0	1	0	0	0
Eigenmannia_virescens	1	0	2	0	0	0
Chologaster_cornuta	1	0	1	0	0	0
Ascelichthys_rhodorus	1	0	1	0	1	0
Magosternarchus_duccis	1	0	2	0	0	0
Lamprogrammus_shcherbachevi	1	0	1	0	0	0
Listrura_tetraradiata	1	0	1	0	0	0
Spinacanthus_cuneiformis	?	0	?	0	0	0
Synbranchus_lampreia	0	0	0	0	0	0
Protobalistum_imperialis	?	0	?	0	0	0
Apteronotus_magdalenensis	1	0	2	0	0	0
Monopterus_albus	0	0	0	0	0	0
Neocyema_erythrosoma	0&1	0	0&1	0	0	0
Alabes_brevis	0	0	0	0	0	0
Xenoconger_fryeri	0	0	0	0	0	0
Archolaemus_blax	1	0	2	0	0	0
Hypopomus_artedi	1	0	2	0	0	0
Radiicephalus_elongatus	1	0	1	0	0	0
Sternarchorhynchus_oxyrhynchus	1	0	2	0	0	0
Raconda_russeliana	1	0	1	0	0	0
Gymnorhamphichthys_hypostomus	1	0	2	0	0	0
Macrocephenchelys_brevirostris	1	0	1	0	0	0
Apteronotus_cuchillejo	1	0	2	0	0	0
Steatogenys_elegans	1	0	2	0	0	0
Gymnallabes_nops	0	0	0	0	0	0
Ophisternon_bengalense	0	0	0	0	0	0
Sternarchella_schotti	1	0	2	0	0	0
Gymnotus_carapo	1	0	2	0	0	0
Pristigaster_cayana	1	0&1	1	0&1	1	0
Oligolactoria_bubiki	1	0	1	0	1	0
Bellottia_galatheae	?	0	?	0	0	0
Eolactoria_sorbinii	1	0	1	0	1	0
Listrura_boticario	1	0	1	0	0	0
Miuroglanis_platycephalus	1	0	1	0	0	0
Alabes_parvula	0	0	0	0	0	0
Pshekhadiodon_parini	1	0	1	0	1	0
Aphanius_apodus	1	0	1	0	0	0
Trinectes_maculatus	0	1	0	1	0	1
Plagiotremus_iosodon	1	0	1	0	1	0
Eigenmannia_sp._(Fink_and_Fink_1981)	1	0	2	0	0	0
Sternarchogiton_nattereri	1	0	2	0	0	0
Typhlobelus_macromycterus	1	0	1	0	0	0
Ophisternon_infernale	0	0	0	0	0	0
Diodon_holocanthus	1	0	1	0	1	0
Mola_mola	1	0	2	0	0	0
Adontosternarchus_sp._(Fink_and_Fink_1981)	1	0	2	0	0	0
Alabes_dorsalis	0	1	0	1	0	0
Kentrocapros_aculeatus	1	0	2	0	1	0
Hephthocara_simum	?	0	?	0	0	0
Acanthostracion_quadricornis	1	0	1	0	1	0
Echiophis_punctifer	?	0	?	0	0	0
Xiphias_gladius	1	0	1	0	0	0
Cyprinodon_diabolis	1	0	1	0	0	0
Sternarchella_sima	1	0	2	0	0	0
Bihunichthys_monopteroides	1	0	1	0	0	0
Opisthopterus_tardoore	1	0	1	0	0	0
Icosteus_aenigmaticus	1	0&1	1	0&1	0	0
Desmodema_lorum	1	0	1	0	0	0
Centrophryne_spinulosa	1	0	1	0	0	0
Chaudhuria_fusipinnis	1	0	1	0	0	0
Ophisternon_aenigmaticum	0	0	0	0	0	0
Thermobiotes_mytilogeiton	0	0	0	0	0	1
Anguilla_rostrata	1	0	1	0	1	0
Compasaria_sp._1_(Albert_2001)	1	0	2	0	0	0
Speoplatyrhinus_poulsoni	1	0	1	0	0	0
Lycenchelys_hureaui	1	0	1	0	1	0
Opisthopterus_macrops	1	0	1	0	0	0
Lycenchelys_monstrosa	1	0	1	0	1	0
Eotetraodon_pygmaeus	1	0	2	0	1	0
Odontognathus_mucronatus	1	0	1	0	0	0
Rhodichthys_regina	1	0	1	0	0	0
Robia_legula	1	0&1	1	0&1	0	0
Chilomycterus_schoepfii	1	0	1	0	1	0
Lamprogrammus_fragilis	1	0	1	0	0	0
Neoceratias_spinifer	1	0	1	0	0	0
Compsaraia_compsus	1	0	2	0	0	0
Idiacanthus_atlanticus	0	1	0	1	0	0
Pillaia_kachinica	1	0	1	0	0	0
Gymnarchus_niloticus	1	0	1	0	0	0
Sternopygus_astrabes	1	0	2	0	0	0
Hephthocara_crassiceps	?	0	?	0	0	0
Rachycentron_canadum	1	1	1	2	0	0
