taxa_name	pectoral_fin	pelvic_fin	pectoral_inferred	pelvic_inferred	pectoral_propagated	pelvic_propagated	paired_fin
Leptostomias longibarba	?	1	?	1	0	1	3
Pimelodus brevis	1	?	2	?	1	0	3
Careproctus filamentosus	1	?	1	?	1	0	3
Nothobranchius microlepis	1	?	2	?	1	0	3
Glyptothorax interspinalus	1	?	2	?	1	0	3
Cottus beldingii	1	?	1	?	1	0	3
Encheliophis chardewalli	0	0	0	0	1	1	0
Aphyosemion lujae	1	?	2	?	1	0	3
Astyanax pellegrini	1	?	2	?	1	0	3
Wetmorella tanakai	1	?	1	?	1	0	3
Bothus lunatus	1	1	1	1	1	1	3
Salaria fluviatilis	1	?	1	?	1	0	3
Ogilbyina queenslandiae	1	1	1	1	1	1	3
Stethojulis maculata	1	?	1	?	1	0	3
Oreoglanis frenatus	1	?	2	?	1	0	3
Kryptolebias caudomarginatus	1	?	1	?	1	0	3
Canthigaster supramacula	1	1	1	2	1	1	3
Cynoglossus purpureomaculatus	0	0	0	0	1	1	0
Genioliparis lindbergi	1	?	1	?	1	0	3
Symphurus leei	0	0	0	0	1	1	0
Neofundulus parvipinnis	1	?	1	?	1	0	3
Macroparalepis affinis	1	1	2	2	0	0	3
Hypoptychus dybowskii	1	0	1	0	0	0	2
Ctenopoma kingsleyae	1	1	1	1	1	1	3
Pimelodella montana	1	?	2	?	1	0	3
Galaxias zebratus	1	1	1	2	1	1	3
Assiculoides desmonotus	1	1	1	1	1	1	3
Harpadon microchir	?	1	?	2	0	1	3
Alectis ciliaris	1	?	1	?	1	0	3
Trichomycterus spelaeus	1	?	1	?	1	0	3
Triglops jordani	1	?	1	?	1	0	3
Hypentelium nigricans	?	1	?	2	0	0	3
Cynoglossus capensis	0	0	0	0	1	1	0
Leporinus friderici	?	1	?	2	0	0	3
Paralichthys aestuarius	1	?	2	?	1	0	3
Hypostomus ancistroides	1	?	2	?	1	0	3
Hoplerythrinus unitaeniatus	1	1	2	1	0	0	3
Engyprosopon natalensis	1	1	1	1	1	1	3
Cynoglossus bilineatus	0	0	0	0	1	1	0
Pseudobunocephalus amazonicus	1	?	2	?	0	0	3
Eustomias digitatus	?	1	?	1	0	1	3
Ilyophis brunneus	?	0	?	0	0	1	2
Leptoancistrus cordobensis	1	?	2	?	1	0	3
Sorubim maniradii	1	?	2	?	1	0	3
Trichomycterus dispar	1	?	1	?	1	0	3
Kathetostoma fluviatilis	1	?	2	?	1	0	3
Gymnothorax castlei	0	0	0	0	1	1	0
Gymnotus anguillaris	1	0	2	0	0	0	2
Nettenchelys dionisi	0	0	0	0	1	1	0
Melamphaes pumilus	?	1	?	2	0	1	3
Bodianus scrofa	1	?	1	?	1	0	3
Stokellia anisodon	1	?	2	?	1	0	3
Himantolophus borealis	1	0	1	0	1	1	2
Cinetodus crassilabris	1	1	2	2	0	0	3
Astronesthes ijimai	?	1	?	1	0	1	3
Nannocampus weberi	?	0	?	0	0	1	2
Lepidogalaxias salamandroides	1	?	2	?	1	0	3
Bothrocara hollandi	1	?	1	?	1	0	3
Gymnelus retrodorsalis	1	?	1	?	1	0	3
Lycodes paucilepidotus	1	?	1	?	1	0	3
Myctophum affine	1	1	2	2	0	0	3
Cynoglossus interruptus	0	0	0	0	1	1	0
Hippichthys heptagonus	?	0	?	0	0	1	2
Eigenmannia humboldtii	1	0	2	0	0	0	2
Benthenchelys pacificus	?	0	?	0	0	1	2
Diaphus schmidti	?	1	?	2	0	1	3
Siokunichthys nigrolineatus	?	0	?	0	0	1	2
Chasmocranus brevior	1	?	2	?	1	0	3
Peckoltia oligospila	1	1	2	2	0	0	3
Carpiodes velifer	?	1	?	2	0	0	3
Icelinus tenuis	1	?	1	?	1	0	3
Pterobunocephalus depressus	1	?	2	?	0	0	3
Heteroconger pellegrini	0	0	0	0	1	1	0
Rineloricaria hasemani	1	?	2	?	1	0	3
Perulibatrachus aquilonarius	1	1	2	2	1	1	3
Pterygotrigla macrolepidota	1	?	1	?	1	0	3
Hemibagrus hainanensis	1	1	2	2	0	0	3
Symphurus billykrietei	0	0	0	0	1	1	0
Stauroglanis gouldingi	1	?	1	?	1	0	3
Syngnathus taenionotus	?	0	?	0	0	1	2
Echiodon drummondii	1	0	1	0	1	1	2
Parapercis okamurai	1	?	2	?	1	0	3
Halichoeres trimaculatus	1	?	1	?	1	0	3
Cirripectes quagga	1	?	1	?	1	0	3
Lycenchelys novaezealandiae	1	?	1	?	1	0	3
Uranoscopus kaianus	1	?	2	?	1	0	3
Cyprinella chloristia	1	1	2	2	0	0	3
Himantolophus appelii	1	0	1	0	1	1	2
Synodus jaculum	?	1	?	2	0	1	3
Pelteobagrus tonkinensis	1	?	2	?	1	0	3
Pimelodella eigenmanniorum	1	?	2	?	1	0	3
Rachovia hummelincki	1	?	1	?	1	0	3
Pervagor randalli	1	0	1	0	1	1	2
Anchoa spinifer	?	1	?	1	0	0	3
Lycodichthys antarcticus	1	?	1	?	1	0	3
Symphurus nebulosus	0	0	0	0	1	1	0
Synodontis dhonti	1	?	2	?	1	0	3
Anchoviella guianensis	?	1	?	1	0	0	3
Diplostomias indicus	?	1	?	1	0	1	3
Ancylopsetta dendritica	1	?	2	?	1	0	3
Patagonotothen ramsayi	1	?	2	?	0	0	3
Hilsa kelee	1	1	1	2	1	0	3
Chascanopsetta elski	1	1	1	1	1	1	3
Malapterurus teugelsi	1	?	2	?	1	0	3
Rhamdella montana	1	?	2	?	1	0	3
Anarchias supremus	0	0	0	0	1	1	0
Corydoras rabauti	1	1	2	2	0	0	3
Pseudolabrus gayi	1	?	1	?	1	0	3
Mastacembelus ellipsifer	1	?	1	?	0	0	3
Ophichthus tchangi	?	0	?	0	0	1	2
Parachanna africana	1	?	1	?	1	0	3
Dysomma polycatodon	?	0	?	0	0	1	2
Trichomycterus heterodontus	1	?	1	?	1	0	3
Moringua javanica	0	0	0	0	1	1	0
Scleropages aureus	1	?	1	?	1	0	3
Pseudobagrus brachyrhabdion	1	?	2	?	1	0	3
Gogangra laevis	1	?	2	?	1	0	3
Clepticus brasiliensis	1	?	1	?	1	0	3
Gagata cenia	1	?	2	?	0	0	3
Limnothrissa miodon	1	1	1	1	1	0	3
Alosa suworowi	1	?	1	?	1	0	3
Sebastes owstoni	1	?	2	?	0	0	3
Synchirus gilli	1	?	1	?	1	0	3
Sargocentron marisrubri	?	1	?	2	0	1	3
Arnoglossus oxyrhynchus	1	1	1	1	1	1	3
Oryzias latipes	1	1	2	2	0	0	3
Silurus triostegus	1	?	1	?	1	0	3
Paraliparis auriculatus	1	0	1	0	1	1	2
Canthigaster epilampra	1	1	1	2	1	1	3
Noturus placidus	1	?	2	?	1	0	3
Platyclarias machadoi	1	?	1	?	1	0	3
Cyclocheilichthys enoplos	?	1	?	2	0	0	3
Hyalobagrus ornatus	1	1	2	2	0	0	3
Ammodytoides kimurai	1	?	1	?	1	0	3
Tetractenos hamiltoni	1	1	1	2	1	1	3
Lythrurus alegnotus	1	1	2	2	1	0	3
Mesocottus haitej	1	?	1	?	1	0	3
Denticetopsis macilenta	1	1	2	2	0	0	3
Chaunax flammeus	1	?	2	?	1	0	3
Maratecoara lacortei	1	?	1	?	1	0	3
Allocyttus verrucosus	1	1	2	2	0	0	3
Salarias sinuosus	1	?	1	?	1	0	3
