Iteration	Posterior	Likelihood	Prior	r14	r23	r32	r33	r38	r39	r42	r45	r48	r5	r51	r53	r56	r60	r62	r63
0	-239.413	-269.573	30.1593	0.154124	0.2086782	0.1530605	0.004497938	0.04443433	0.001265809	0.006178812	0.01164778	0.001296944	0.1316738	0.006893439	0.02255679	0.07878369	0.007583694	0.002307757	0.05363548
100	-246.624	-264.893	18.269	0.3095729	0.07299395	0.174656	0.005300897	0.0222038	0.001447229	0.0114049	0.004028681	0.001321314	0.6417916	7.535052e-05	0.01668573	0.1268915	0.002114629	0.009770345	0.08287515
200	-238.69	-263.844	25.1541	0.1770892	0.1944428	0.1453141	0.0004847811	0.0478892	0.009625705	0.0002403702	0.02076822	0.001737971	0.1382823	0.01050441	0.001399237	0.2286833	0.004814091	0.002144599	0.1554613
300	-238.916	-261.87	22.9543	0.07491957	0.3108054	0.3052345	0.001252796	0.03285712	0.008471499	0.002020406	0.01404054	0.003040944	0.1477521	0.0006009206	0.000254121	0.1942165	0.006361843	0.006571591	0.1404721
400	-239.393	-271.472	32.0785	0.1614965	0.07269446	0.005974639	0.002126307	0.02651312	0.008685011	0.001736639	0.01196306	0.001563846	0.1414748	0.02108283	0.008015353	0.226395	0.00289539	0.0009296375	0.09911454
500	-242.465	-265.687	23.2219	0.1966595	0.2494168	0.06950817	0.00701973	0.02168819	0.004861541	0.0009205856	0.01010909	0.004272432	0.1766337	0.005381242	0.004733021	0.2841228	0.004924277	0.007848468	0.1873905
600	-240.375	-268.005	27.6295	0.1869982	0.2194955	0.08860435	0.004768313	0.0367393	0.006742477	0.0003752299	0.02516482	0.001469756	0.1864379	0.01379163	0.000617926	0.1358492	0.006201125	0.001474083	0.1003799
700	-245.974	-265.967	19.9924	0.2993967	0.1320644	0.09015932	0.004973753	0.04246544	0.00776364	0.006109949	0.01872313	0.00235698	0.4449021	0.006590627	0.005181969	0.2083438	0.001587605	0.0005530314	0.1257918
800	-240.028	-267.481	27.4528	0.1745527	0.1232875	0.1359072	0.001960119	0.01854159	0.004772976	0.007926387	0.01351502	0.0009894565	0.2481942	0.0004934241	0.007772098	0.1309838	0.007194463	0.01205051	0.1358053
900	-238.863	-268.062	29.1999	0.09002562	0.177282	0.1947179	0.004938511	0.03509906	0.002375099	0.004068389	0.01370912	0.002735441	0.1085647	0.001769948	0.007137667	0.1650958	0.01382019	0.006479853	0.1087708
1000	-236.683	-262.629	25.9461	0.1958644	0.1659981	0.2350305	0.001933309	0.03079713	0.001382708	0.0005237914	0.008946901	0.003891011	0.1107497	0.009491708	0.01414623	0.1699475	0.007915882	0.002960746	0.1397019
1100	-242.468	-270.198	27.7302	0.1760069	0.1078809	0.05245265	0.005110709	0.02901593	0.00523226	0.004213739	0.009074679	0.001261577	0.2497399	0.02906973	0.0103772	0.2121101	0.002837797	0.00422548	0.111465
1200	-235.452	-267.048	31.5959	0.1551027	0.04792052	0.1250824	0.0004956298	0.0210188	0.01162572	0.001107097	0.008628726	0.001898627	0.08800208	0.0145799	0.001533535	0.1939724	0.006858307	0.004698348	0.134268
1300	-238.483	-266.264	27.7805	0.06440372	0.1876532	0.1022787	0.00277076	0.03347163	0.004840054	0.003340819	0.0100324	0.001046292	0.1331495	0.005344209	0.008637905	0.2291369	0.006817605	0.009265894	0.2053721
1400	-242.212	-269.254	27.0422	0.08682248	0.126679	0.18322	0.0008018235	0.01877341	0.003037625	0.002714341	0.009017864	0.0003560729	0.05750502	0.01696825	0.00482135	0.3365079	0.01694534	0.006791658	0.1735151
1500	-238.199	-269.236	31.0365	0.1993338	0.06623835	0.1711387	0.0001009633	0.02049173	0.01021435	0.008523349	0.009480696	0.003401079	0.09580859	0.0001299918	0.0008989271	0.1106111	0.007490775	0.01608426	0.1248151
1600	-246.094	-278.289	32.1945	0.140774	0.06544415	0.1164497	0.003504531	0.02749808	0.004041845	0.007962301	0.01900965	0.005100866	0.2039025	0.01471419	0.006020632	0.0876548	0.008524831	0.002629916	0.07362779
1700	-239.386	-268.281	28.895	0.103856	0.07303473	0.1295742	0.005633084	0.02179327	0.01046123	0.005309523	0.008053397	0.0008749838	0.1852328	0.0005911476	0.005595184	0.1904999	0.002221729	0.01208972	0.1970174
