Iteration	Posterior	Likelihood	Prior	r1	r2
0	-8.65461	-14.4557	5.80107	0.0006826113	0.008836984
100	-7.59669	-13.221	5.62434	0.0001672701	0.01818877
200	-14.0771	-16.4041	2.32708	0.004751535	0.1784679
300	-8.21427	-13.7383	5.524	0.0006429951	0.02273025
400	-9.84056	-14.7703	4.92971	0.001062852	0.05202466
500	-8.58858	-13.8446	5.25601	0.0004281462	0.0363444
600	-10.3587	-15.0548	4.69613	0.0006226452	0.06414429
700	-8.06027	-13.5088	5.44852	0.0004527338	0.02669453
800	-7.8826	-13.5794	5.69675	0.0005027155	0.01423286
900	-9.94953	-15.1715	5.22192	0.001350698	0.03712639
1000	-11.3722	-16.9799	5.60775	0.001708471	0.01747745
1100	-8.36227	-13.7471	5.3848	0.000564295	0.02976874
1200	-9.19259	-14.2943	5.10175	0.0007174729	0.04376813
1300	-7.67287	-13.3751	5.70227	0.0003910467	0.0140685
1400	-9.32887	-14.4707	5.14181	0.0009146004	0.04156828
1500	-13.6868	-17.7095	4.02274	0.004173294	0.0942627
1600	-8.30684	-14.1033	5.79646	6.027577e-05	0.009689924
1700	-14.0814	-16.597	2.51569	0.0048882	0.1689006
1800	-8.10634	-13.5193	5.41296	0.000394053	0.02853134
1900	-9.69831	-15.0646	5.3663	0.001255476	0.03000275
2000	-8.12937	-13.6025	5.47315	0.0001215544	0.02579422
2100	-8.85002	-13.9474	5.09743	7.188025e-05	0.04462993
2200	-7.66648	-13.2676	5.60116	0.0003820346	0.01913332
2300	-8.17149	-13.856	5.68448	0.0006324193	0.01471675
2400	-8.04584	-13.7161	5.6703	0.0005873975	0.01547075
2500	-8.26593	-13.6197	5.35379	0.0002636502	0.03162021
2600	-8.68582	-14.144	5.45821	5.444356e-05	0.0266084
2700	-8.05731	-13.7896	5.73225	0.0005498918	0.01241063
2800	-7.63069	-13.3422	5.71148	0.0001354183	0.01386371
2900	-7.81098	-13.3126	5.50157	0.0003289345	0.0241656
3000	-8.45965	-13.8258	5.36614	0.0001208336	0.03114536
3100	-8.07649	-13.4897	5.41319	0.0002552956	0.02865859
3200	-8.35024	-13.7584	5.40817	0.0005969163	0.0285677
3300	-9.22766	-14.395	5.16735	0.0008684941	0.04033744
3400	-9.28588	-14.4168	5.13088	0.0008634115	0.04216601
3500	-12.9042	-17.5341	4.62988	0.003174204	0.06490504
3600	-9.27433	-15.2314	5.95712	0.0004982865	0.001218747
3700	-9.54637	-15.4682	5.92185	0.0007644317	0.002716345
3800	-12.2513	-15.8781	3.62689	0.002709379	0.1155194
3900	-10.3257	-15.0041	4.67837	0.0009246899	0.06472992
4000	-8.37191	-13.9624	5.59047	0.0007343888	0.01931547
4100	-10.2069	-14.9329	4.72602	0.0007707168	0.06250145
4200	-10.3216	-15.2793	4.95775	0.001497669	0.05018824
