Iteration	Posterior	Likelihood	Prior	r1	r2
0	-33.9535	-39.6383	5.68484	0.01300776	0.002323533
100	-31.9795	-37.8023	5.8228	0.006897775	0.001535632
200	-32.8004	-38.5896	5.78925	0.009248051	0.0008627342
300	-33.5924	-39.4561	5.8637	0.003748447	0.002639585
400	-31.9697	-37.8167	5.84694	0.005625109	0.001601017
500	-32.9515	-38.8722	5.92073	0.002359486	0.00117701
600	-32.3336	-38.1122	5.77864	0.009102613	0.001538816
700	-32.9582	-38.7847	5.82648	0.005798191	0.002451033
800	-33.8399	-39.5241	5.68424	0.01412219	0.001238907
900	-33.5042	-39.252	5.74776	0.009587728	0.002597609
1000	-34.299	-40.068	5.76898	0.007944807	0.00317946
1100	-32.2741	-38.0752	5.80115	0.008417098	0.001098825
1200	-32.7148	-38.4682	5.75339	0.01061774	0.001286226
1300	-32.1361	-37.981	5.84484	0.005522273	0.001808717
1400	-32.2814	-38.0784	5.79698	0.008588857	0.001135449
1500	-32.0785	-37.942	5.86353	0.004741508	0.001655113
1600	-32.7949	-38.5392	5.74435	0.01060183	0.001753838
1700	-33.2148	-39.0428	5.82801	0.007566137	0.0006068334
1800	-32.5165	-38.3529	5.83638	0.005610261	0.002144029
1900	-32.1715	-37.9656	5.79413	0.008394676	0.001472116
2000	-31.8966	-37.7482	5.85158	0.00578625	0.001207997
2100	-33.2571	-38.9795	5.72234	0.01137432	0.00208181
2200	-32.9593	-38.7694	5.81007	0.008351606	0.0007179592
2300	-32.6869	-38.5567	5.86976	0.005391208	0.0006942318
2400	-34.01	-39.7831	5.77312	0.007889633	0.003027675
2500	-32.7996	-38.5879	5.78832	0.007875638	0.002281766
2600	-35.172	-41.0518	5.87977	0.00242404	0.003160537
2700	-33.2509	-39.116	5.86517	0.005758266	0.0005565693
2800	-31.9935	-37.823	5.8295	0.006945079	0.001153047
2900	-33.0832	-38.8751	5.79196	0.009229768	0.0007454678
3000	-32.4436	-38.2172	5.77356	0.009607403	0.001287807
3100	-33.4279	-39.2894	5.86154	0.003922996	0.00257317
3200	-33.8292	-39.5058	5.6766	0.0142507	0.001492321
3300	-31.9534	-37.8093	5.85588	0.005679212	0.001099968
3400	-32.8957	-38.703	5.8073	0.006799573	0.002408715
3500	-34.5836	-40.3619	5.77827	0.007320153	0.003339413
3600	-34.4473	-40.1757	5.72842	0.01255198	0.0006002867
3700	-35.4068	-40.9848	5.57791	0.01911711	0.001560538
3800	-34.0719	-39.7661	5.69419	0.01227833	0.002585298
3900	-32.6022	-38.4467	5.84446	0.005166171	0.002184176
4000	-32.7985	-38.6705	5.87199	0.003825959	0.002147823
4100	-32.6407	-38.444	5.80334	0.008547319	0.0008590514
4200	-32.3667	-38.2104	5.84376	0.006553985	0.0008313419
4300	-33.1351	-39.0528	5.91774	0.002926382	0.0007596256
4400	-32.3608	-38.257	5.89619	0.003304277	0.00145939
4500	-32.8365	-38.6559	5.8194	0.007877074	0.0007261595
4600	-31.965	-37.7867	5.82173	0.00715791	0.00132873
4700	-34.4217	-40.0725	5.65077	0.01585581	0.001178946
4800	-31.9308	-37.7696	5.83878	0.006103784	0.001530256
4900	-32.3711	-38.2724	5.90131	0.003237544	0.001269968
5000	-32.9743	-38.8201	5.84577	0.006652054	0.0006325158
5100	-31.9874	-37.8049	5.81755	0.007340169	0.001355616
5200	-34.214	-39.8897	5.67573	0.01330836	0.002478334
5300	-32.3899	-38.1634	5.77346	0.009385889	0.00151435
5400	-32.3442	-38.1747	5.83052	0.007168198	0.0008790018
5500	-32.0906	-37.9676	5.87695	0.004710312	0.00101559
5600	-32.0438	-37.8734	5.8296	0.006393554	0.001699868
5700	-32.0461	-37.8677	5.82161	0.007342668	0.001150256
5800	-32.131	-38.0198	5.88881	0.003886819	0.001245721
5900	-32.671	-38.4737	5.80269	0.007203724	0.002234981
6000	-32.5892	-38.3867	5.79754	0.008781573	0.0009144396
6100	-34.4121	-40.2043	5.79226	0.009500948	0.0004594697
6200	-32.6642	-38.4243	5.76011	0.009688819	0.001878861
6300	-33.3476	-39.2426	5.89495	0.002636817	0.002188714
6400	-32.7939	-38.638	5.84411	0.005057973	0.002309624
6500	-32.3123	-38.1757	5.86342	0.00452402	0.001878019
6600	-35.8535	-41.4092	5.55571	0.01980185	0.001985728
6700	-32.4343	-38.2159	5.7816	0.008636537	0.001856828
6800	-33.0974	-38.8336	5.73624	0.01065848	0.002102693
6900	-32.1893	-38.0239	5.83457	0.006894696	0.0009502544
7000	-33.0024	-38.7348	5.73237	0.01107997	0.001874992
7100	-33.1966	-38.9469	5.75035	0.009689923	0.002365984
7200	-32.4799	-38.258	5.77801	0.009511601	0.0011612
7300	-32.6116	-38.5226	5.91102	0.002947044	0.001075222
7400	-31.8871	-37.744	5.85683	0.005390159	0.001341731
7500	-31.8823	-37.7319	5.84961	0.005827504	0.001265171
7600	-32.6921	-38.4421	5.75001	0.01043018	0.001642427
7700	-33.9842	-39.7851	5.80089	0.006489018	0.003039805
7800	-32.2615	-38.0491	5.78756	0.008570233	0.001625083
7900	-32.5499	-38.3104	5.76049	0.01007026	0.001478453
8000	-35.791	-41.5337	5.74272	0.008543996	0.00389327
8100	-32.4279	-38.2147	5.78676	0.008327212	0.001907868
8200	-32.1661	-37.9697	5.80355	0.007691486	0.00170431
8300	-33.8545	-39.5502	5.69568	0.01240574	0.002383714
8400	-32.8063	-38.6274	5.82118	0.007784158	0.0007302867
8500	-33.1019	-38.849	5.74715	0.009969575	0.002246291
8600	-32.613	-38.3745	5.76146	0.009685825	0.001814509
8700	-34.4813	-40.1435	5.66224	0.01551021	0.0009510429
8800	-33.1431	-39.0291	5.88595	0.003074734	0.002200846
8900	-33.6267	-39.388	5.76127	0.01080328	0.0007063871
