Iteration	Posterior	Likelihood	Prior	r1	r2
0	-2.62634	-8.38108	5.75474	0.01133086	0.0005055314
100	-3.80128	-8.79243	4.99115	0.04843654	0.001579127
200	-2.88705	-8.58165	5.6946	0.01341061	0.001432602
300	-2.4691	-8.33855	5.86945	0.00495061	0.00115009
400	-3.20137	-8.95226	5.75088	0.01023469	0.001794355
500	-7.28451	-11.9272	4.64271	0.06031021	0.007127588
600	-5.0797	-9.76336	4.68366	0.06139751	0.003992583
700	-4.21877	-8.97672	4.75795	0.05974069	0.00193505
800	-4.00088	-8.92328	4.9224	0.05230385	0.00114915
900	-2.78253	-8.32274	5.54021	0.02183916	0.0007236157
1000	-2.57414	-8.3501	5.77596	0.01024871	0.0005266772
1100	-2.85797	-8.61378	5.75582	0.01031942	0.001463039
1200	-6.73483	-9.71604	2.98121	0.1485198	0.001992894
1300	-2.81686	-8.78965	5.97279	0.000626577	0.0003072349
1400	-5.70244	-10.8299	5.12746	0.03866812	0.004531921
1500	-6.93481	-9.70942	2.77461	0.1545197	0.006323075
1600	-3.69253	-8.73648	5.04395	0.04601301	0.001362849
1700	-4.32791	-9.89634	5.56844	0.01839178	0.002759631
1800	-3.86623	-8.85669	4.99045	0.04896817	0.001082328
1900	-3.35434	-8.5986	5.24425	0.03665487	0.0007056739
2000	-3.43091	-9.0216	5.59068	0.01989909	0.0001399031
2100	-11.2019	-11.1576	-0.0442938	0.2823878	0.01940009
2200	-2.74469	-8.43661	5.69192	0.01450272	0.0004747333
2300	-5.93025	-9.91246	3.98221	0.09516303	0.005299743
2400	-5.60547	-10.6034	4.99791	0.04508073	0.004597013
2500	-7.74834	-9.48396	1.73563	0.2079966	0.004795321
2600	-3.7178	-8.79024	5.07244	0.04501061	0.0009405019
2700	-2.55007	-8.40864	5.85858	0.005405993	0.001238306
2800	-2.93904	-8.50235	5.56331	0.02005237	0.001355298
2900	-4.71391	-9.66613	4.95222	0.04846924	0.00349308
3000	-2.45307	-8.3508	5.89774	0.003507244	0.001179129
3100	-5.04482	-9.22444	4.17962	0.0878876	0.0027048
3200	-3.6348	-8.72928	5.09447	0.04319186	0.001657646
3300	-3.59879	-9.01974	5.42095	0.02639409	0.00213166
3400	-2.2108	-8.18108	5.97027	0.0001209109	0.0009386506
3500	-4.63221	-9.99308	5.36086	0.02832004	0.003210075
3600	-3.9296	-9.12136	5.19175	0.03967274	0.0003128265
3700	-4.49679	-10.0733	5.57656	0.01785922	0.002886135
3800	-5.98026	-11.2213	5.24102	0.03292314	0.004599112
3900	-7.34685	-9.46439	2.11753	0.1890487	0.004647896
4000	-4.26215	-9.30949	5.04734	0.04434531	0.002860759
4100	-5.59893	-10.5105	4.91158	0.04931767	0.004676357
4200	-3.7043	-9.10754	5.40324	0.02716021	0.002250875
4300	-6.75536	-11.7429	4.98755	0.04435307	0.005842684
4400	-4.38792	-9.63633	5.24841	0.0341094	0.003043425
4500	-5.07226	-10.4733	5.40107	0.02596804	0.00355147
4600	-8.02956	-12.7311	4.70151	0.05662346	0.00787441
4700	-3.69357	-9.63462	5.94106	0.0003332988	0.002187038
4800	-2.36464	-8.32697	5.96233	0.000284822	0.001171769
4900	-2.88801	-8.62471	5.73671	0.01126081	0.00147715
5000	-2.66874	-8.31009	5.64135	0.01678842	0.0007173938
5100	-5.31851	-9.81641	4.49789	0.0703399	0.004338693
5200	-2.41622	-8.375	5.95879	0.0004064183	0.001227408
5300	-2.80547	-8.50416	5.69869	0.01330658	0.00133208
5400	-5.20647	-9.57488	4.36841	0.08007894	0.00107381
5500	-3.19773	-9.12603	5.9283	0.00129769	0.001860405
5600	-2.59878	-8.32228	5.7235	0.01237097	0.001027197
5700	-2.59223	-8.32686	5.73463	0.01179531	0.001046591
5800	-7.28546	-9.49164	2.20618	0.185525	0.003739095
5900	-3.21895	-8.4882	5.26926	0.03503337	0.001077015
6000	-3.28721	-9.10409	5.81688	0.00683888	0.001890505
6100	-7.20415	-9.63952	2.43537	0.1751517	0.002652801
6200	-6.57596	-9.81651	3.24055	0.1314214	0.006124355
6300	-3.83805	-9.0618	5.22375	0.0360255	0.002360423
6400	-4.29945	-9.16511	4.86566	0.05540075	0.0008894895
6500	-7.6891	-10.0992	2.41011	0.1773731	0.001694351
6600	-3.62729	-9.03589	5.40859	0.02698047	0.002163068
6700	-2.77096	-8.59101	5.82005	0.007133692	0.001436808
6800	-3.35086	-9.26789	5.91703	0.003538211	0.0001835478
6900	-3.43875	-9.221	5.78224	0.008460605	0.002000388
7000	-2.42793	-8.31488	5.88695	0.004716836	0.0005086558
7100	-3.88855	-8.92048	5.03192	0.04583088	0.002146269
7200	-2.8167	-8.32191	5.50521	0.02348551	0.0008269909
7300	-3.72406	-8.9625	5.23844	0.03732791	0.0003233149
7400	-3.7227	-9.51252	5.78982	0.007869189	0.002213039
7500	-2.98095	-8.47949	5.49855	0.02330791	0.001337991
7600	-3.10886	-8.49685	5.38799	0.02879531	0.001378346
7700	-5.28326	-9.71509	4.43183	0.07376305	0.00421874
7800	-5.03282	-10.2528	5.21995	0.03483335	0.003742303
7900	-3.70501	-9.23912	5.53411	0.02063352	0.002234394
8000	-3.2925	-8.69567	5.40317	0.02915891	0.0002557641
8100	-2.29909	-8.23908	5.94	0.001997947	0.0005754986
8200	-9.01749	-10.1706	1.15313	0.2397185	0.002198109
8300	-2.92235	-8.87219	5.94984	0.001806492	0.000274697
8400	-2.2965	-8.22116	5.92466	0.002348264	0.0009918712
8500	-2.42978	-8.23615	5.80637	0.008389218	0.0008655449
8600	-3.9973	-9.1789	5.1816	0.0379346	0.002558502
8700	-3.83866	-9.09166	5.253	0.0345439	0.00237951
8800	-7.42322	-9.63067	2.20745	0.1863107	0.002890068
8900	-3.01145	-8.38682	5.37537	0.02985327	0.0009514632
9000	-4.3141	-9.78488	5.47078	0.02321038	0.002824028
9100	-3.12504	-8.63948	5.51444	0.02226895	0.001582305
9200	-2.33281	-8.29917	5.96637	0.0001172499	0.001137687
9300	-2.63483	-8.50964	5.87481	0.004476379	0.001356453
9400	-2.97797	-8.38673	5.40876	0.02845626	0.0006789187
9500	-3.89567	-9.03853	5.14286	0.0419651	0.000465302
9600	-2.74704	-8.47067	5.72363	0.01210436	0.001287162
9700	-4.0791	-9.74047	5.66137	0.01399549	0.002509243
9800	-5.46388	-9.45308	3.98921	0.09617893	0.003933985
9900	-3.67129	-8.85366	5.18238	0.03991856	0.0005357495
10000	-4.90158	-9.25434	4.35277	0.07893593	0.002998841
