Iteration	Posterior	Likelihood	Prior	r1	r2
0	1.76692	-0.551696	2.31861	0.0004383896	0.1832042
100	3.00009	-0.765045	3.76514	0.0003944596	0.1109219
200	4.40584	-1.27354	5.67938	0.0001280523	0.01547615
300	3.42801	-2.10982	5.53783	0.0003361091	0.02234551
400	4.20127	-1.09668	5.29795	0.0001923117	0.03448317
500	3.66366	-1.65454	5.3182	0.0003194656	0.0333439
600	3.56335	-0.355157	3.91851	0.000171862	0.103476
700	4.16774	-0.343902	4.51165	0.0001163537	0.0738746
800	2.102	-1.2903	3.39229	0.0007570817	0.1292014
900	3.87323	-1.62172	5.49495	0.0002502164	0.02457567
1000	3.66756	-2.02864	5.6962	0.0002636609	0.01449933
1100	-0.573519	-0.777794	0.204276	0.0009418204	0.2884176
1200	4.31056	-1.06009	5.37065	0.0001641137	0.03087654
1300	4.63668	-0.634656	5.27133	8.608609e-05	0.03592055
1400	5.04599	-0.454021	5.50001	1.678934e-06	0.02457093
1500	3.69472	-0.65695	4.35167	0.0002592603	0.08173052
1600	4.13969	-0.15737	4.29706	5.924136e-05	0.08466111
1700	-0.986911	-4.55138	3.56447	0.002504583	0.1188451
1800	3.7034	-0.196585	3.89998	9.530119e-05	0.1044787
1900	1.83922	-0.43906	2.27828	0.0003524105	0.1853068
2000	4.642	-0.793752	5.43576	8.800234e-05	0.02769744
2100	2.22963	-0.134538	2.36417	0.0001058053	0.1812589
2200	3.28325	-0.493942	3.7772	0.0002533784	0.1104601
2300	5.07568	-0.622344	5.69802	3.683751e-06	0.01466855
2400	2.58428	-1.13913	3.72341	0.000596386	0.1128062
2500	0.641376	-3.77344	4.41482	0.001470141	0.0773621
2600	1.62762	-1.18448	2.8121	0.0008269624	0.1581412
2700	3.6509	-0.427218	4.07811	0.0001928266	0.09547475
2800	3.94648	-0.116756	4.06323	5.119619e-05	0.09636034
2900	4.66373	-0.585031	5.24876	7.819409e-05	0.03705691
3000	4.58664	-0.0888028	4.67544	9.090193e-06	0.06579212
3100	2.63767	-1.51301	4.15067	0.0006669074	0.09137274
3200	3.43103	-0.0363151	3.46734	2.062988e-05	0.1261854
