Iteration	Posterior	Likelihood	Prior	r14	r23	r32	r33	r38	r39	r42	r45	r48	r5	r51	r53	r56	r60	r62	r63
0	-29.5145	-66.5914	37.0769	0.03670437	0.04591032	0.06239735	0.03281773	0.02347483	0.03038494	0.02764734	0.08988699	0.02972271	0.001056776	0.01308061	0.05688284	0.08765484	0.0007750115	0.001358108	0.002988544
100	-28.4064	-65.5741	37.1677	0.0345844	0.009751563	0.1008958	0.02902596	0.01605303	0.03445321	0.04441619	0.0858238	0.05161405	0.002370212	0.009406056	0.04643799	0.06963296	0.0003091221	0.003202776	0.0002239042
200	-26.3575	-66.678	40.3205	0.02251896	0.03363472	0.03535642	0.0186682	0.06756024	0.04079165	0.003568027	0.03565044	0.02587262	2.937642e-05	0.01426745	0.0230217	0.05565326	0.0009176759	0.002135972	0.0009138367
300	-28.8448	-61.5915	32.7468	0.1893481	0.03424335	0.1072184	0.0110534	0.05051346	0.08768963	0.009959137	0.1067314	0.006928946	0.0003382714	0.003721274	0.02750953	0.1197874	0.0003623137	0.003635341	0.0002064066
400	-19.7774	-61.8415	42.0641	0.03105509	0.007736285	0.008762086	0.01458347	0.009191219	0.008313981	0.005392727	0.04174702	0.04510169	0.0006748334	0.04905461	0.0002359	0.06821077	0.000127053	0.00291855	0.0002767723
500	-23.3276	-63.0912	39.7636	0.08937583	0.04608439	0.03199393	0.006428052	0.004593501	0.0411181	0.008349421	0.0325296	0.0584696	0.0001217993	0.01407027	0.04887605	0.02308621	0.0003447746	0.001377811	0.001584428
600	-31.8706	-64.8002	32.9296	0.04645051	0.07119746	0.08584706	0.01480398	0.06457275	0.02080319	0.01534271	0.05547296	0.03737784	0.002148062	0.04616171	0.2514391	0.0355875	0.0003432367	3.992502e-05	0.002517662
700	-22.912	-60.4598	37.5478	0.09494121	0.06689859	0.01101366	0.009166529	0.0578443	0.01182063	0.001966094	0.09582914	0.07450111	0.0006185678	0.05051124	0.01423654	0.02722676	5.327015e-05	0.002454462	0.0001139607
800	-30.5653	-62.4656	31.9003	0.01587128	0.01380272	0.445407	0.006598094	0.004142314	0.03146465	0.01092727	0.06720481	0.03340305	0.001773488	0.006071539	0.09221482	0.06837932	1.310141e-05	0.002700434	0.001596174
900	-27.7278	-62.5343	34.8065	0.06367265	0.08544605	0.1414064	0.03149082	0.02024268	0.003151177	0.00815601	0.08170149	0.007279304	0.0008388652	0.06175839	0.04850522	0.09869988	0.0007822688	0.002319829	0.0008115211
1000	-27.426	-60.6903	33.2643	0.1130613	0.02431992	0.139262	0.003584991	0.0001853392	0.05476228	0.0273357	0.06935907	0.05781137	0.0005195523	0.01606305	0.06542027	0.1567983	0.0001045784	0.003483167	0.001299437
1100	-25.7099	-64.2445	38.5346	0.12657	0.02625449	0.05174746	0.007798189	0.05285184	0.001053673	0.01504232	0.04809972	0.07136372	6.598185e-05	0.005508212	0.01348307	0.04449726	0.0004515772	0.002575855	0.002490612
1200	-28.8348	-64.7206	35.8858	0.02339989	0.004925299	0.1703362	0.002527632	0.006619596	0.01857998	0.001258413	0.0319185	0.1925985	0.001079895	0.03295743	0.03780585	0.07205328	0.001287548	0.003907577	0.001039961
1300	-33.5209	-65.5901	32.0692	0.2185306	0.0630677	0.04097002	0.03646748	0.02616828	0.002345909	0.02590918	0.09519828	0.06902793	0.003517645	0.1126497	0.07111168	0.02499084	0.0002365186	0.001693018	0.001240628
1400	-27.907	-65.6881	37.7811	0.08470497	0.02075983	0.03023369	0.0223187	0.08810332	0.0001663098	0.01011648	0.1189627	0.04385393	0.003529534	0.03145464	0.02809976	0.02404639	7.911109e-06	0.0008300104	0.0003437234
1500	-32.2747	-66.8489	34.5742	0.08826354	0.07718338	0.121561	0.009205951	0.01171406	0.05865118	0.003619315	0.05707197	0.01439507	0.0003189039	0.03342653	0.06548256	0.1223839	0.003423578	0.0006682272	0.0005065639
1600	-25.5722	-64.6685	39.0963	0.01333803	0.07026805	0.02655999	0.01680779	0.00104948	0.04979593	0.007049145	0.1338935	0.006198106	0.0001354031	0.01270966	0.02485982	0.07438324	0.0008137445	0.003859266	4.925182e-05
1700	-30.1793	-64.693	34.5138	0.2499327	0.001363738	0.08191593	0.02440879	0.006288382	0.02774746	0.06398139	0.02935631	0.02556135	0.001911508	0.004552823	0.02508777	0.1235194	1.983602e-05	0.001488449	0.003761829
1800	-23.9637	-62.27	38.3063	0.02842887	0.08537595	0.004306757	0.009872803	0.04435414	0.006725045	0.006952948	0.1284982	0.1112339	0.002611933	0.0005736665	0.01719106	0.03261767	1.759818e-05	0.002148541	0.0003626339
1900	-31.1886	-63.0099	31.8213	0.05908392	0.08963917	0.195107	0.01475768	0.01364474	0.03908238	0.03811043	0.08088369	0.04972882	0.0001020311	0.03435926	0.06932186	0.1160842	0.002096459	0.003272115	0.0002490569
2000	-27.29	-59.8921	32.6021	0.1819773	0.01009578	0.2758377	0.02109777	0.03232212	0.01166928	0.02938991	0.05779213	0.03390132	0.000109803	0.0006548927	0.06170165	0.04775305	5.875591e-05	0.001785372	0.0003335934
2100	-26.4346	-59.0918	32.6572	0.1422821	0.02022904	0.2041786	0.006457459	0.01666392	0.003522047	0.01428438	0.1084293	0.08357346	9.581574e-05	0.002181957	0.06632511	0.09205359	8.996603e-05	0.002756161	0.0006050504
2200	-28.8625	-65.956	37.0935	0.1326955	0.01488858	0.04196188	0.01224387	5.406828e-05	0.008146776	0.02905977	0.0343131	0.004547663	0.005680198	0.005811364	0.1512575	0.0979241	0.0003226591	0.0007748452	0.002228866
2300	-25.1291	-62.0211	36.892	0.06473195	0.09395105	0.001978236	0.02244805	0.02052395	0.03445598	0.006833017	0.05452106	0.02602173	0.001298029	0.00839122	0.152018	0.06134999	0.0002093561	0.002768095	0.0004867718
2400	-30.6897	-60.9814	30.2917	0.3247263	0.01220693	0.07787262	0.01356095	0.096486	0.003068503	0.02719242	0.09347857	0.04469696	0.0001189345	0.03470985	0.1424119	0.008765198	0.0004352089	0.001310757	0.0009595483
2500	-31.8746	-72.6861	40.8115	0.007661907	0.008795961	0.06306297	0.03070401	0.01052319	0.02724002	0.04182341	0.01232942	0.07485666	0.003403134	0.007454651	0.02596486	0.03809776	0.001055752	0.0008650528	0.002173595
2600	-25.5045	-63.5093	38.0049	0.1378602	0.03046812	0.02201311	0.03084085	0.01311127	0.07235742	0.003977891	0.02606968	0.02857452	0.0006222226	0.003352279	0.08423805	0.04047762	0.0003904893	0.0007257997	0.00126292
2700	-23.9038	-61.778	37.8741	0.03041478	0.004526745	0.1629817	0.006475818	0.006079238	0.006198477	0.003360716	0.02520642	0.08685677	3.196401e-05	0.05793534	0.01919986	0.08872258	0.0005145956	0.00400542	0.0003697106
2800	-23.1246	-62.1941	39.0695	0.02242685	0.01529639	0.02993147	0.0008531297	0.01158473	0.05749962	0.006319097	0.02585675	0.08564778	0.0002149227	0.005513844	0.1110507	0.0689379	2.065207e-05	0.001452642	0.0005068693
2900	-26.2563	-61.7422	35.4859	0.006598422	0.1042565	0.1861457	0.002294253	0.008473019	0.005335042	0.003437152	0.03203322	0.05882233	0.0006718772	0.02704789	0.02170263	0.1602425	0.0003840176	0.001944054	0.002902962
3000	-22.3448	-60.1769	37.8321	0.08778018	0.071291	0.1288951	0.01149123	0.01121038	0.001776277	0.002237567	0.0703634	0.03789518	0.0001188773	0.02141299	0.03925358	0.01767763	0.0002779095	0.002418112	0.0008811111
3100	-27.9221	-63.8465	35.9244	0.004732241	0.1775934	0.1741925	0.003900826	0.04751222	0.01355426	0.0009817133	0.04342719	0.02721428	0.000364961	0.008755174	0.09030837	0.00312675	0.001011919	0.001591483	0.002100348
3200	-32.9239	-67.7243	34.8004	0.08152083	0.03278548	0.1838359	0.07405956	0.02008904	0.005873007	0.003940609	0.05056894	0.07859084	0.001448641	0.05976327	0.02520447	0.03231435	0.0009474757	0.004846876	0.0007754472
3300	-28.2281	-65.6536	37.4255	0.0729454	0.002832032	0.0226745	0.009750822	0.04486224	0.01474555	0.007154578	0.1486753	0.05660346	0.001730323	0.04061593	0.08822166	0.009289577	4.420723e-05	0.004844379	0.000320689
3400	-34.2556	-65.6763	31.4207	0.116392	0.03170709	0.1377978	0.01750272	0.06639647	0.04632073	0.002550844	0.0451977	0.1327975	0.00234224	0.008378035	0.1133555	0.09751274	0.001052262	0.002433239	0.003815771
3500	-36.4118	-72.1766	35.7648	0.004277955	0.0013003	0.0195136	0.02249848	0.003011088	0.07532805	0.01383801	0.2064446	0.01271545	0.004712491	0.03636045	0.01427185	0.188449	0.0006407573	0.004870605	0.0001109141
