Iteration	Posterior	Likelihood	Prior	r1	r2
0	-46.9645	-52.8408	5.87631	0.002126881	0.003631071
100	-49.7705	-55.5655	5.795	0.003672482	0.006150699
200	-47.4139	-53.3265	5.91262	0.001492854	0.002449483
300	-47.9155	-53.8343	5.91889	0.001266887	0.002362044
400	-51.2316	-57.0936	5.86201	0.0007037143	0.005769091
500	-48.1729	-54.0281	5.85519	0.001596824	0.005216738
600	-47.6914	-53.6047	5.91333	0.00132571	0.002580818
700	-46.8578	-52.7458	5.888	0.002131275	0.003042073
800	-47.6445	-53.5668	5.92224	0.00169872	0.001762647
900	-47.7802	-53.69	5.90981	0.002540694	0.001542175
1000	-49.0441	-54.8622	5.81815	0.002068788	0.006596756
1100	-49.1968	-55.0297	5.83285	0.004212168	0.003718347
1200	-50.9338	-56.7038	5.76996	0.002812579	0.008262446
1300	-46.9367	-52.814	5.87725	0.002411125	0.003299441
1400	-51.2869	-57.0608	5.77384	0.004544532	0.006336628
1500	-47.55	-53.4399	5.88988	0.00296852	0.002110936
1600	-47.5103	-53.3923	5.88202	0.001515603	0.003956629
1700	-48.294	-54.1227	5.82868	0.003215285	0.004923835
1800	-47.3086	-53.2223	5.91367	0.001632875	0.002257071
1900	-47.2646	-53.1694	5.90472	0.001534087	0.002802989
2000	-47.846	-53.6876	5.84163	0.003078576	0.00441298
2100	-47.0128	-52.8843	5.8715	0.002479563	0.003518486
2200	-47.662	-53.5398	5.87784	0.003218091	0.00246325
2300	-48.7151	-54.542	5.82691	0.002002102	0.006225847
2400	-46.9066	-52.7856	5.87899	0.002306854	0.003316765
2500	-48.0372	-53.9633	5.92614	0.001347575	0.001918564
2600	-49.4645	-55.2628	5.79834	0.002884697	0.00677139
2700	-47.181	-53.0429	5.86192	0.00251259	0.003964493
2800	-46.9508	-52.8523	5.90146	0.002038426	0.002461738
2900	-47.8748	-53.7144	5.83965	0.003026102	0.004564554
3000	-47.7853	-53.6672	5.88184	0.003244908	0.002236258
3100	-52.1397	-57.9487	5.809	0.005700939	0.003422184
3200	-46.9129	-52.7911	5.87823	0.00228197	0.003379912
3300	-50.4279	-56.2201	5.79219	0.002032295	0.007931603
