Iteration	Posterior	Likelihood	Prior	r14	r23	r32	r33	r38	r39	r42	r45	r48	r5	r51	r53	r56	r60	r62	r63
0	-139.337	-174.007	34.6704	0.06610033	0.05751117	0.1497911	0.001822479	0.005751835	0.01370528	0.0219228	0.05148116	0.1688886	0.04007159	0.0008243583	0.01074389	0.04552141	0.001454966	0.00266116	0.02481594
100	-143.479	-170.573	27.0946	0.1902329	0.1238738	0.09511725	0.002183329	0.004105523	0.01255759	0.05172945	0.1818275	0.2169297	0.09383629	0.005893624	0.0009669637	0.04556489	0.001823767	0.004014028	0.01119931
200	-135.09	-169.732	34.642	0.007477007	0.06077726	0.1234418	0.001861176	0.003038817	0.007940966	0.03761511	0.133583	0.1299604	0.08098419	9.118992e-05	0.007137709	0.05167521	0.002341575	0.000540544	0.0160209
300	-137.419	-169.331	31.9121	0.01528177	0.0638388	0.1514462	0.00705448	0.002063946	0.00685054	0.004238391	0.1518661	0.2599045	0.07407764	0.001945691	0.001552114	0.04604938	0.0003486253	0.003654345	0.01080611
400	-139.657	-167.664	28.0076	0.07138946	0.0008139958	0.1409948	0.0009290707	0.01087379	0.003303968	0.1061197	0.2498472	0.3433774	0.01595168	0.001185769	0.001372809	0.03323013	0.000152432	0.005838934	0.01082444
500	-139.355	-167.035	27.6799	0.05329859	0.03964822	0.3156846	0.005296306	0.01184988	0.005627426	0.01065221	0.3318198	0.04391891	0.135161	0.001533116	0.001425363	0.04118907	0.0001459352	0.001480752	0.01385727
600	-136.667	-166.815	30.1483	0.004323449	0.09710666	0.1863861	6.830788e-05	0.00449657	0.007593794	0.01070994	0.1945712	0.1740948	0.1017015	0.001126847	0.002698023	0.07267797	0.001248532	0.002397829	0.02797061
700	-137.583	-169.241	31.6581	0.1322214	0.1560422	0.1842719	0.005636816	0.0009172537	0.01246214	0.04379879	0.1400791	0.01077463	0.07955296	2.208546e-05	0.0008162772	0.03264299	0.001555007	0.001453056	0.01143578
800	-145.682	-169.364	23.6819	0.1702308	0.1693693	0.4796448	0.001096458	0.003682181	0.00124914	0.01228291	0.164972	0.09483573	0.04406454	0.001999363	0.00273186	0.04083899	0.003593197	0.002839521	0.01906191
900	-138.409	-167.547	29.1379	0.03775572	0.1524586	0.04316332	0.003625918	0.02156979	0.004364044	0.007749936	0.3168978	0.2205239	0.085582	0.0003978237	0.001393113	0.02527464	0.0005091092	0.004416071	0.01401112
1000	-139.46	-167.328	27.8686	0.03519884	0.1024621	0.1067226	0.001155447	0.001243222	0.006235347	0.01909361	0.311821	0.1083055	0.1797286	0.0003237404	0.00238156	0.0935494	0.0004088989	0.002008278	0.03251989
1100	-141.994	-170.264	28.2704	0.05608904	0.0929284	0.07196384	0.001688777	0.0001421944	0.01105053	0.01709956	0.1093416	0.05867327	0.4809616	0.002965739	0.002001448	0.04917535	0.0007255416	0.003784902	0.02447595
1200	-140.897	-173.014	32.1166	0.06776761	0.05681613	0.1612755	0.01872741	0.001181735	0.00754135	0.1065708	0.02472939	0.001715034	0.236546	0.003856757	0.006496109	0.06916246	0.0001521579	0.0002207619	0.02799532
1300	-140.069	-171.95	31.8814	0.1095656	0.1437041	0.05870145	0.0005708546	0.003559072	0.007394083	0.02399292	0.1865588	0.1474468	0.03900528	0.002086264	0.001399245	0.04592939	0.003123515	0.003627692	0.02585134
1400	-133.761	-171.01	37.2488	0.02251176	0.04546249	0.02018225	0.000615174	0.009215439	0.007911401	0.04127544	0.03666657	0.2127535	0.07782368	0.00247898	0.004363667	0.03707997	0.0005699098	2.171162e-05	0.01521222
1500	-133.936	-169.83	35.894	0.02003726	0.0794189	0.03045955	0.006815403	0.01180996	0.007736797	0.01106364	0.126781	0.1714405	0.08424622	0.002391984	0.003068211	0.03191288	8.072678e-05	0.003256271	0.01136514
1600	-133.662	-172.869	39.2069	0.006917382	0.04961692	0.0914906	0.001215719	0.003101941	0.01281744	0.009544996	0.1170985	0.06888012	0.02014628	0.002508361	0.002719925	0.03470284	0.0003125193	0.005846463	0.009320985
1700	-146.165	-170.586	24.421	0.1776239	0.1106744	0.1907864	0.002164979	0.003642717	0.004302471	0.00972553	0.1089128	0.2969727	0.2166806	0.006826179	0.00769934	0.02351377	0.0007924809	0.002710717	0.01250757
1800	-135.432	-169.554	34.1223	0.09444644	0.1528784	0.08070297	0.0005483162	0.006277234	0.006515169	0.04202223	0.07706521	0.1148479	0.07067443	0.001873745	0.002982659	0.02633531	0.001510532	0.00164344	0.01014594
1900	-146.176	-174.885	28.7092	0.04575903	0.2569079	0.003143582	0.001614576	0.0212081	0.002023418	0.00339692	0.258482	0.1036031	0.07041899	0.004546071	0.002212312	0.1355494	0.0009959377	0.0009621816	0.05030117
2000	-138.884	-166.209	27.3247	0.02331499	0.09073302	0.3103381	0.003231511	0.005769631	0.008009881	0.003521618	0.1535645	0.223938	0.1594455	0.001484459	0.001717437	0.02761375	0.0006701288	0.002747022	0.01425121
2100	-139.63	-167.295	27.6654	0.09029232	0.1789061	0.1425521	0.0003758761	0.005528616	0.003728529	0.02055119	0.2867187	0.09040493	0.1488806	0.002463021	0.001897548	0.0272981	0.001741393	0.003575625	0.00840065
2200	-140.824	-167.637	26.8132	0.1501921	0.1891937	0.06651012	0.01273958	0.007192262	0.002657992	0.04186004	0.1223899	0.2663046	0.1555205	0.0002969719	0.001702433	0.02517676	0.0001478786	0.002616288	0.01142362
2300	-145.837	-173.147	27.3103	0.2072016	0.2425238	0.1314833	0.003529784	0.0006216404	0.01075661	0.07921066	0.02882991	0.1738015	0.1048302	0.006140111	0.003313475	0.02753888	0.002337104	0.001649497	0.007301264
2400	-139.156	-168.159	29.0033	0.1028588	0.176783	0.2077596	0.005230514	7.411952e-05	0.008280716	0.01534311	0.1428412	0.08421367	0.1534084	0.0006447032	0.002127554	0.03682547	0.0008305224	0.001442975	0.007756659
2500	-141.108	-168.182	27.074	0.01438732	0.1035492	0.06806472	0.01789514	0.0005493506	0.01064086	0.01472641	0.1478878	0.1683444	0.4221814	0.001218385	0.002955718	0.04904788	9.741142e-05	0.005213232	0.0161268
2600	-137.649	-171.414	33.7648	0.03509876	0.02200638	0.06009739	0.009351982	0.02204595	0.00687019	0.002854358	0.2712398	0.07125278	0.1283966	0.0007377538	0.0002189922	0.05237324	0.001645605	0.002124573	0.02203227
2700	-135.173	-169.618	34.4457	0.02021886	0.02388227	0.1818825	0.004417761	0.001894056	0.009423109	0.04506751	0.05726119	0.1429259	0.1328621	0.0002958879	0.005665504	0.03368594	0.0007348397	0.001982422	0.01210161
