chr.id,dependent.chr.id,subrels
UBERON:0006290,UBERON:0006849,develops_from
UBERON:0006291,UBERON:0006290,develops_from
UBERON:0007829,UBERON:0004741,is_a
UBERON:0007829,UBERON:0006849,is_a
UBERON:0007829,UBERON:2000663,is_a
UBERON:0007829,UBERON:2001852,is_a
UBERON:0007829,UBERON:2001998,is_a
UBERON:0007829,UBERON:2002019,is_a
UBERON:0007829,UBERON:2002030,
UBERON:0007829,UBERON:4000160,is_a
UBERON:0007829,UBERON:4200022,is_a
UBERON:0007829,UBERON:4300104,is_a
UBERON:0015057,UBERON:0006291,is_a
UBERON:1500007,UBERON:4300087,develops_from
UBERON:2000623,UBERON:2002072,part_of
UBERON:2000623,UBERON:2002076,part_of
UBERON:2000663,UBERON:4200099,is_a
UBERON:2000663,UBERON:4200103,is_a
UBERON:2001586,UBERON:2001587,is_a
UBERON:2001586,UBERON:2001588,is_a
UBERON:2001587,UBERON:2002026,is_a
UBERON:2001587,UBERON:2002027,is_a
UBERON:2001587,UBERON:2002028,is_a
UBERON:2001587,UBERON:2002029,is_a
UBERON:2001587,UBERON:4300087,is_a
UBERON:2001588,UBERON:2002279,is_a
UBERON:2001588,UBERON:2002280,is_a
UBERON:2101586,UBERON:2101587,is_a
UBERON:2101586,UBERON:2101588,is_a
UBERON:2101586,UBERON:2201586,is_a
UBERON:2101587,UBERON:2102026,is_a
UBERON:2101587,UBERON:2102027,is_a
UBERON:2101587,UBERON:2102028,is_a
UBERON:2101587,UBERON:2102029,is_a
UBERON:2101587,UBERON:2201587,is_a
UBERON:2101587,UBERON:4300081,is_a
UBERON:2101587,UBERON:4300082,is_a
UBERON:2101587,UBERON:4300083,is_a
UBERON:2101588,UBERON:2102279,is_a
UBERON:2101588,UBERON:2102280,is_a
UBERON:2101588,UBERON:2201588,is_a
UBERON:2102026,UBERON:2202026,is_a
UBERON:2102027,UBERON:2202027,is_a
UBERON:2102028,UBERON:2202028,is_a
UBERON:2102029,UBERON:2202029,is_a
UBERON:2102279,UBERON:2202279,is_a
UBERON:2102280,UBERON:2202280,is_a
UBERON:2201586,UBERON:2001586,develops_from
UBERON:2201586,UBERON:2201587,is_a
UBERON:2201586,UBERON:2201588,is_a
UBERON:2201587,UBERON:1500007,is_a
UBERON:2201587,UBERON:2001587,develops_from
UBERON:2201587,UBERON:2001589,is_a
UBERON:2201587,UBERON:2202026,is_a
UBERON:2201587,UBERON:2202027,is_a
UBERON:2201587,UBERON:2202028,is_a
UBERON:2201587,UBERON:2202029,is_a
UBERON:2201587,UBERON:4400000,is_a
UBERON:2201588,UBERON:2001588,develops_from
UBERON:2201588,UBERON:2202279,is_a
UBERON:2201588,UBERON:2202280,is_a
UBERON:2202026,UBERON:2002026,develops_from
UBERON:2202027,UBERON:2002027,develops_from
UBERON:2202028,UBERON:2002028,develops_from
UBERON:2202029,UBERON:2002029,develops_from
UBERON:2202279,UBERON:2002279,develops_from
UBERON:2202280,UBERON:2002280,develops_from
UBERON:4000175,UBERON:2001761,is_a
UBERON:4000175,UBERON:2001762,is_a
UBERON:4000175,UBERON:2001787,is_a
UBERON:4000175,UBERON:2001993,is_a
UBERON:4300081,UBERON:1500007,is_a
UBERON:4300082,UBERON:4400000,is_a
UBERON:4300083,UBERON:2001589,is_a
UBERON:4300092,UBERON:2001537,is_a
UBERON:4440009,UBERON:2101586,part_of
