df.chr.id,df.chr.name,df.dependent.chr.id,df.dependent.chr.name,df.subrels
UBERON:0006290,scapula cartilage element,UBERON:0006849,scapula,develops_from
UBERON:0006291,scapula pre-cartilage condensation,UBERON:0006290,scapula cartilage element,develops_from
UBERON:0007829,pectoral girdle bone,UBERON:0004741,cleithrum,is_a
UBERON:0007829,pectoral girdle bone,UBERON:0006849,scapula,is_a
UBERON:0007829,pectoral girdle bone,UBERON:2000663,extrascapula,is_a
UBERON:0007829,pectoral girdle bone,UBERON:2001852,postcleithrum 1,is_a
UBERON:0007829,pectoral girdle bone,UBERON:2001998,posttemporal-supracleithrum,is_a
UBERON:0007829,pectoral girdle bone,UBERON:2002019,pterotic-posttemporal-supracleithrum,is_a
UBERON:0007829,pectoral girdle bone,UBERON:2002030,ventral keel of coracoid,
UBERON:0007829,pectoral girdle bone,UBERON:4000160,anocleithrum,is_a
UBERON:0007829,pectoral girdle bone,UBERON:4200022,extracleithrum,is_a
UBERON:0007829,pectoral girdle bone,UBERON:4300104,ectocoracoid bone,is_a
UBERON:0015057,scapula endochondral element,UBERON:0006291,scapula pre-cartilage condensation,is_a
UBERON:1500007,mesopterygium cartilage,UBERON:4300087,mesopterygium bone,develops_from
UBERON:2000623,basipterygium bone,UBERON:2002072,middle anterior process of basipterygium,part_of
UBERON:2000623,basipterygium bone,UBERON:2002076,lateral process of basipterygium,part_of
UBERON:2000663,extrascapula,UBERON:4200099,lateral extrascapular,is_a
UBERON:2000663,extrascapula,UBERON:4200103,median extrascapular,is_a
UBERON:2001586,pectoral fin radial bone,UBERON:2001587,pectoral fin proximal radial bone,is_a
UBERON:2001586,pectoral fin radial bone,UBERON:2001588,pectoral fin distal radial bone,is_a
UBERON:2001587,pectoral fin proximal radial bone,UBERON:2002026,pectoral fin proximal radial bone 1,is_a
UBERON:2001587,pectoral fin proximal radial bone,UBERON:2002027,pectoral fin proximal radial bone 2,is_a
UBERON:2001587,pectoral fin proximal radial bone,UBERON:2002028,pectoral fin proximal radial bone 3,is_a
UBERON:2001587,pectoral fin proximal radial bone,UBERON:2002029,pectoral fin proximal radial bone 4,is_a
UBERON:2001587,pectoral fin proximal radial bone,UBERON:4300087,mesopterygium bone,is_a
UBERON:2001588,pectoral fin distal radial bone,UBERON:2002279,pectoral fin distal radial bone 2,is_a
UBERON:2001588,pectoral fin distal radial bone,UBERON:2002280,pectoral fin distal radial bone 3,is_a
UBERON:2101586,pectoral fin radial element,UBERON:2101587,pectoral fin proximal radial element,is_a
UBERON:2101586,pectoral fin radial element,UBERON:2101588,pectoral fin distal radial element,is_a
UBERON:2101586,pectoral fin radial element,UBERON:2201586,pectoral fin radial cartilage,is_a
UBERON:2101587,pectoral fin proximal radial element,UBERON:2102026,pectoral fin proximal radial element 1,is_a
UBERON:2101587,pectoral fin proximal radial element,UBERON:2102027,pectoral fin proximal radial element 2,is_a
UBERON:2101587,pectoral fin proximal radial element,UBERON:2102028,pectoral fin proximal radial element 3,is_a
UBERON:2101587,pectoral fin proximal radial element,UBERON:2102029,pectoral fin proximal radial element 4,is_a
UBERON:2101587,pectoral fin proximal radial element,UBERON:2201587,pectoral fin proximal radial cartilage,is_a
UBERON:2101587,pectoral fin proximal radial element,UBERON:4300081,mesopterygium element,is_a
UBERON:2101587,pectoral fin proximal radial element,UBERON:4300082,metapterygium element,is_a
UBERON:2101587,pectoral fin proximal radial element,UBERON:4300083,propterygium element,is_a
UBERON:2101588,pectoral fin distal radial element,UBERON:2102279,pectoral fin distal radial element 2,is_a
UBERON:2101588,pectoral fin distal radial element,UBERON:2102280,pectoral fin distal radial element 3,is_a
UBERON:2101588,pectoral fin distal radial element,UBERON:2201588,pectoral fin distal radial cartilage,is_a
UBERON:2102026,pectoral fin proximal radial element 1,UBERON:2202026,pectoral fin proximal radial cartilage 1,is_a
UBERON:2102027,pectoral fin proximal radial element 2,UBERON:2202027,pectoral fin proximal radial cartilage 2,is_a
UBERON:2102028,pectoral fin proximal radial element 3,UBERON:2202028,pectoral fin proximal radial cartilage 3,is_a
UBERON:2102029,pectoral fin proximal radial element 4,UBERON:2202029,pectoral fin proximal radial cartilage 4,is_a
UBERON:2102279,pectoral fin distal radial element 2,UBERON:2202279,pectoral fin distal radial cartilage 2,is_a
UBERON:2102280,pectoral fin distal radial element 3,UBERON:2202280,pectoral fin distal radial cartilage 3,is_a
UBERON:2201586,pectoral fin radial cartilage,UBERON:2001586,pectoral fin radial bone,develops_from
UBERON:2201586,pectoral fin radial cartilage,UBERON:2201587,pectoral fin proximal radial cartilage,is_a
UBERON:2201586,pectoral fin radial cartilage,UBERON:2201588,pectoral fin distal radial cartilage,is_a
UBERON:2201587,pectoral fin proximal radial cartilage,UBERON:1500007,mesopterygium cartilage,is_a
UBERON:2201587,pectoral fin proximal radial cartilage,UBERON:2001587,pectoral fin proximal radial bone,develops_from
UBERON:2201587,pectoral fin proximal radial cartilage,UBERON:2001589,propterygium cartilage,is_a
UBERON:2201587,pectoral fin proximal radial cartilage,UBERON:2202026,pectoral fin proximal radial cartilage 1,is_a
UBERON:2201587,pectoral fin proximal radial cartilage,UBERON:2202027,pectoral fin proximal radial cartilage 2,is_a
UBERON:2201587,pectoral fin proximal radial cartilage,UBERON:2202028,pectoral fin proximal radial cartilage 3,is_a
UBERON:2201587,pectoral fin proximal radial cartilage,UBERON:2202029,pectoral fin proximal radial cartilage 4,is_a
UBERON:2201587,pectoral fin proximal radial cartilage,UBERON:4400000,metapterygium cartilage,is_a
UBERON:2201588,pectoral fin distal radial cartilage,UBERON:2001588,pectoral fin distal radial bone,develops_from
UBERON:2201588,pectoral fin distal radial cartilage,UBERON:2202279,pectoral fin distal radial cartilage 2,is_a
UBERON:2201588,pectoral fin distal radial cartilage,UBERON:2202280,pectoral fin distal radial cartilage 3,is_a
UBERON:2202026,pectoral fin proximal radial cartilage 1,UBERON:2002026,pectoral fin proximal radial bone 1,develops_from
UBERON:2202027,pectoral fin proximal radial cartilage 2,UBERON:2002027,pectoral fin proximal radial bone 2,develops_from
UBERON:2202028,pectoral fin proximal radial cartilage 3,UBERON:2002028,pectoral fin proximal radial bone 3,develops_from
UBERON:2202029,pectoral fin proximal radial cartilage 4,UBERON:2002029,pectoral fin proximal radial bone 4,develops_from
UBERON:2202279,pectoral fin distal radial cartilage 2,UBERON:2002279,pectoral fin distal radial bone 2,develops_from
UBERON:2202280,pectoral fin distal radial cartilage 3,UBERON:2002280,pectoral fin distal radial bone 3,develops_from
UBERON:4000175,pectoral fin lepidotrichium,UBERON:2001761,pectoral fin lepidotrichium 1,is_a
UBERON:4000175,pectoral fin lepidotrichium,UBERON:2001762,pectoral fin lepidotrichium 2,is_a
UBERON:4000175,pectoral fin lepidotrichium,UBERON:2001787,pectoral fin spine,is_a
UBERON:4000175,pectoral fin lepidotrichium,UBERON:2001993,branched pectoral fin ray,is_a
UBERON:4300081,mesopterygium element,UBERON:1500007,mesopterygium cartilage,is_a
UBERON:4300082,metapterygium element,UBERON:4400000,metapterygium cartilage,is_a
UBERON:4300083,propterygium element,UBERON:2001589,propterygium cartilage,is_a
UBERON:4300092,mesocoracoid element,UBERON:2001537,mesocoracoid cartilage,is_a
UBERON:4440009,pectoral fin radial skeleton,UBERON:2101586,pectoral fin radial element,part_of
